serving images at :8080
/images  29.991429ms 2025-03-15T07:18:53 map[name:[c3/DSC00328-v2.jpg]]
/images   55.65154ms 2025-03-15T07:18:54 map[name:[c3/DSC00033-v2.jpg]]
/images  61.951076ms 2025-03-15T07:18:54 map[name:[c3/DSC00038-v2.jpg]]
/images  62.403144ms 2025-03-15T07:18:54 map[name:[c3/DSC00037-v2.jpg]]
/images 103.961314ms 2025-03-15T07:18:54 map[name:[c3/DSC00659-v2.jpg]]
/images  87.964385ms 2025-03-15T07:18:54 map[name:[c3/DSC00488-v2.jpg]]
/images 141.778298ms 2025-03-15T07:18:54 map[name:[c3/DSC00681-v2.jpg]]
/images 128.637161ms 2025-03-15T07:18:54 map[name:[c3/DSC00147-v2.jpg]]
/images 138.243443ms 2025-03-15T07:18:54 map[name:[c3/DSC00020-v2.jpg]]
/images 164.328444ms 2025-03-15T07:18:54 map[name:[c3/DSC00537-v2.jpg]]
/images   162.8159ms 2025-03-15T07:18:54 map[name:[c3/DSC00032-v2.jpg]]
/images 197.677611ms 2025-03-15T07:18:54 map[name:[c3/DSC00338-v2.jpg]]
/images 197.672954ms 2025-03-15T07:18:54 map[name:[c3/DSC00277-v2.jpg]]
/images 212.183406ms 2025-03-15T07:18:54 map[name:[c3/DSC00438-v2.jpg]]
/images 219.940716ms 2025-03-15T07:18:54 map[name:[c3/DSC00091-v2.jpg]]
/images 241.949207ms 2025-03-15T07:18:54 map[name:[c3/DSC00478-v2.jpg]]
/images 247.575116ms 2025-03-15T07:18:54 map[name:[c3/DSC00502-v2.jpg]]
/images 257.790527ms 2025-03-15T07:18:54 map[name:[c3/DSC00680-v2.jpg]]
/images 285.771176ms 2025-03-15T07:18:54 map[name:[c3/DSC00711-v2.jpg]]
/images 295.068623ms 2025-03-15T07:18:54 map[name:[c3/DSC00748-v2.jpg]]
/images 295.748747ms 2025-03-15T07:18:54 map[name:[c3/DSC00654-v2.jpg]]
/images 312.010624ms 2025-03-15T07:18:54 map[name:[c3/DSC00742-v2.jpg]]
